lady	19	31	81	180	364	620	1007	1553	2247	camp	8	13	24	64	153	336	643	1053	1672
soul	22	42	93	175	331	524	825	1209	1810	wine	32	46	63	95	151	289	511	894	1444
manner	122	221	369	600	935	1347	1922	2671	3558	speech	18	25	38	69	177	370	684	1165	1825
nature	43	118	222	389	658	1030	1530	2178	3064	dream	77	149	279	440	651	968	1365	1977	2834
spirit	37	63	124	245	423	691	1071	1547	2260	noise	12	15	24	46	93	219	407	749	1200
gentleman	7	11	16	34	58	118	225	431	727	suggestion	104	176	275	408	621	876	1227	1693	2305
character	29	67	174	321	531	799	1177	1752	2462	breakfast	42	58	86	133	196	339	560	912	1371
joy	42	69	121	203	358	579	924	1370	1994	tent	5	10	13	22	36	58	108	185	350
youth	18	32	58	107	194	365	682	1178	1845	dust	5	7	16	37	72	141	293	552	962
duty	2	4	7	17	63	152	367	697	1222	cabin	4	9	17	38	70	118	206	346	616
heaven	43	68	135	235	393	600	910	1275	1827	desert	11	16	24	45	93	172	287	519	871
subject	197	342	544	863	1249	1751	2397	3164	4222	animal	23	37	53	86	166	350	643	1109	1736
master	3	8	29	79	212	437	784	1254	1957	relief	7	10	18	33	85	190	386	734	1278
danger	44	75	160	323	499	768	1132	1630	2337	prison	28	38	53	71	121	229	394	709	1155
happiness	28	55	81	141	237	382	628	966	1376	railroad	9	10	12	23	46	70	127	229	372
fortune	3	7	13	27	66	179	383	682	1169	basket	6	10	14	23	51	103	201	379	713
object	21	39	66	135	266	474	776	1210	1830	chain	4	7	11	27	58	135	313	668	1170
dear	79	121	193	343	540	827	1180	1616	2178	waste	22	32	61	109	223	422	733	1142	1738
bosom	0	2	3	3	5	10	24	48	90	mule	2	2	5	10	15	22	37	49	85
opinion	138	227	402	587	846	1208	1706	2363	3242	cotton	27	45	78	117	172	254	370	541	813
honor	30	53	86	152	292	507	859	1339	2016	deer	28	40	52	75	101	149	212	362	606
fate	7	9	22	55	117	220	409	699	1079	corn	36	55	80	133	190	245	349	514	785
occasion	36	67	121	230	387	639	951	1430	2055	glimpse	19	35	52	100	197	353	584	903	1360
brow	9	11	16	20	28	37	49	65	105	noon	99	117	158	200	246	312	422	580	819
sorrow	29	45	73	101	144	213	316	469	683	linen	12	18	31	53	90	144	212	318	475
countenance	1	2	5	8	24	41	67	119	231	bewilderment	33	47	56	74	106	157	213	319	468
devil	10	14	20	36	72	163	332	615	1006	clerk	12	20	29	43	67	106	184	290	492
servant	8	17	24	34	56	111	178	281	472	velvet	9	11	30	63	100	169	262	410	609
glory	17	33	49	91	135	228	400	682	1098	robe	8	13	16	32	49	78	120	183	264
justice	16	38	69	121	238	458	805	1307	2021	county	48	77	123	188	308	505	852	1378	2152
pity	20	43	66	131	226	371	532	808	1179	straw	0	0	1	4	11	17	39	72	171
affection	27	38	54	75	123	187	293	482	753	nonsense	39	50	82	147	230	367	580	868	1262
influence	87	167	296	539	878	1256	1763	2403	3270	childhood	11	19	37	59	104	220	426	730	1208
possession	6	11	20	35	60	99	189	357	616	destination	16	27	53	93	167	295	521	920	1481
mercy	9	15	25	48	72	108	181	304	525	ward	4	17	43	103	180	299	492	837	1357
dignity	16	29	49	77	109	171	278	454	742	curtain	7	8	13	22	47	72	122	208	373
mistress	17	22	36	51	74	124	168	234	364	barrier	1	1	5	15	27	53	89	196	423
despair	52	78	107	151	212	305	459	660	993	gallery	20	31	54	87	131	239	448	797	1330
friendship	10	15	25	49	101	173	311	548	936	settlement	17	20	30	51	89	179	313	609	1062
judgment	24	41	66	118	220	361	562	927	1431	neighbor	14	22	29	48	77	148	266	462	765
acquaintance	4	6	6	7	14	27	57	101	186	disappearance	1	3	7	13	25	34	50	80	151
authority	20	56	109	213	388	657	1049	1591	2266	violence	36	62	105	161	274	486	827	1296	1903
kindness	22	40	53	83	105	160	245	355	544	lantern	2	3	5	9	16	23	44	77	144
admiration	25	39	52	83	134	194	274	392	579	machinery	14	25	46	69	93	140	217	344	539
wisdom	24	36	58	121	206	352	601	966	1499	warmth	8	14	26	49	96	146	244	395	653
conscience	6	12	24	39	70	141	257	457	806	inspection	14	21	37	63	101	164	266	447	787
temper	4	4	5	6	13	20	37	72	137	surgeon	27	33	49	59	79	112	153	212	332
